approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
SLC34A2,11020,SLC34A2,somatic: NSCLC; germline: NA,3,FALSE
SLC45A3,8642,SLC45A3,somatic: prostate; germline: NA,3,FALSE
SMAD2,6768,SMAD2,"somatic: colorectal carcinoma, hepatocellular carcinoma; germline: NA",3,FALSE
SMAD3,6769,SMAD3,"somatic: colorectal carcinoma, oral squamous cell carcinoma; germline: NA",3,FALSE
SMAD4,6770,SMAD4,"somatic: colorectal, pancreatic, small intestine; germline: gastrointestinal polyp",5,TRUE
SMARCA4,11100,SMARCA4,"somatic: NSCLC, SCCOHT; germline: NA",4,TRUE
SMARCB1,11103,SMARCB1,somatic: malignant rhabdoid; germline: malignant rhabdoid,5,TRUE
SMARCD1,11106,SMARCD1,somatic: breast; germline: NA,2,FALSE
SMARCE1,11109,SMARCE1,somatic: NA; germline: meningioma,3,FALSE
SMC1A,11111,SMC1A,somatic: AML; germline: NA,2,FALSE
SMO,11119,SMO,somatic: skin basal cell; germline: NA,4,TRUE
SND1,30646,SND1,somatic: pancreas acinar carcinoma; germline: NA,3,FALSE
SNX29,30542,SNX29,"somatic: PMBL, Hodgkin lymphoma; germline: NA",2,FALSE
SOCS1,19383,SOCS1,"somatic: Hodgkin lymphoma, PMBL; germline: NA",3,FALSE
SOX2,11195,SOX2,"somatic: NSCLC, oesophageal squamous carcinoma; germline: NA",3,FALSE
SOX21,11197,SOX21,somatic: multiple myeloma; germline: NA,2,FALSE
SPECC1,30615,SPECC1,somatic: JMML; germline: NA,2,FALSE
SPEN,17575,SPEN,"somatic: SMZL, adenoid cystic carcinoma, DLBCL; germline: NA",4,TRUE
SPOP,11254,SPOP,"somatic: prostate, endometrial; germline: prostate cancer",4,TRUE
SRC,11283,SRC,"somatic: colorectal cancer, endometrial carcinoma; germline: NA",3,FALSE
SRGAP3,19744,SRGAP3,somatic: pilocytic astrocytoma; germline: NA,2,FALSE
SRSF2,10783,SRSF2,"somatic: MDS, CLL; germline: NA",4,TRUE
SRSF3,10785,SRSF3,somatic: follicular lymphoma; germline: NA,3,FALSE
SS18,11340,SS18,somatic: synovial sarcoma; germline: NA,3,FALSE
SS18L1,15592,SS18L1,somatic: synovial sarcoma; germline: NA,3,FALSE
SSX1,11335,SSX1,somatic: synovial sarcoma; germline: NA,3,FALSE
SSX2,11336,SSX2,somatic: synovial sarcoma; germline: NA,3,FALSE
SSX4,11338,SSX4,somatic: synovial sarcoma; germline: NA,3,FALSE
STAG1,11354,STAG1,"somatic: colorectal cancer, AML; germline: NA",2,FALSE
STAG2,11355,STAG2,"somatic: bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms; germline: NA",4,TRUE
STAT3,11364,STAT3,somatic: T-cell large granular lymphocytic leukaemia; germline: paediatric large granular lymphocytic leukaemia,5,TRUE
STAT5B,11367,STAT5B,"somatic: large granular lymphocytic leukaemia, skin basal cell, APL; germline: NA",3,FALSE
STAT6,11368,STAT6,"somatic: solitary fibrous tumour, meningeal haemangiopericytoma; germline: NA",3,FALSE
STIL,10879,STIL,somatic: T-ALL; germline: NA,3,FALSE
STK11,11389,STK11,"somatic: NSCLC, pancreatic; germline: jejunal hamartoma, ovarian, testicular, pancreatic",5,TRUE
STRN,11424,STRN,"somatic: anaplastic thyroid, papillary thyroid, lung; germline: NA",3,FALSE
SUB1,19985,SUB1,somatic: lung cancer; germline: NA,2,FALSE
SUFU,16466,SUFU,somatic: medulloblastoma; germline: medulloblastoma,4,TRUE
SUZ12,17101,SUZ12,somatic: endometrial stromal tumour; germline: NA,3,FALSE
SYK,11491,SYK,"somatic: MDS, peripheral T-cell lymphoma; germline: NA",3,FALSE
TAF15,11547,TAF15,"somatic: extraskeletal myxoid chondrosarcoma, ALL; germline: NA",3,FALSE
TAL1,11556,TAL1,somatic: lymphoblastic leukaemia/biphasic; germline: NA,3,FALSE
TAL2,11557,TAL2,somatic: T-ALL; germline: NA,3,FALSE
TBL1XR1,29529,TBL1XR1,"somatic: splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma; germline: NA",3,FALSE
TBX3,11602,TBX3,"somatic: breast, large intestine, skin; germline: NA",4,TRUE
TCEA1,11612,TCEA1,somatic: salivary adenoma; germline: NA,3,FALSE
TCF12,11623,TCF12,somatic: extraskeletal myxoid chondrosarcoma; germline: NA,3,FALSE
TCF3,11633,TCF3,somatic: pre B-ALL; germline: NA,3,FALSE
TCF7L2,11641,TCF7L2,somatic: colorectal; germline: NA,3,FALSE
TCL1A,11648,TCL1A,somatic: T-CLL; germline: NA,3,FALSE
TEC,11719,TEC,somatic: myxoid chondrosarcoma; germline: NA,2,FALSE
TENT5C,24712,TENT5C,somatic: MM; germline: NA,3,FALSE
TERT,11730,TERT,"somatic: melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types; germline: melanoma",5,TRUE
TET1,29484,TET1,somatic: AML; germline: NA,3,FALSE
TET2,25941,TET2,somatic: MDS; germline: NA,4,TRUE
TFE3,11752,TFE3,"somatic: papillary renal, alveolar soft part sarcoma, renal; germline: NA",3,FALSE
TFEB,11753,TFEB,somatic: renal cell carcinoma (childhood epithelioid); germline: NA,3,FALSE
TFG,11758,TFG,"somatic: papillary thyroid, ALCL, NSCLC, extraskeletal myxoid chondrosarcoma; germline: NA",3,FALSE
TFPT,13630,TFPT,somatic: pre-B ALL; germline: NA,2,FALSE
TFRC,11763,TFRC,somatic: NHL; germline: NA,2,FALSE
TGFBR2,11773,TGFBR2,"somatic: head and neck, colorectal; germline: colorectal",5,TRUE
THRAP3,22964,THRAP3,somatic: aneurysmal bone cyst; germline: NA,2,FALSE
TLX1,5056,TLX1,somatic: T-ALL; germline: NA,3,FALSE
TLX3,13532,TLX3,somatic: T-ALL; germline: NA,3,FALSE
TMEM127,26038,TMEM127,"somatic: NA; germline: pheochromocytoma, renal cell carcinoma",3,FALSE
TMPRSS2,11876,TMPRSS2,somatic: prostate; germline: NA,3,FALSE
TMSB4X,11881,TMSB4X,somatic: DLBCL; germline: NA,2,FALSE
TNC,5318,TNC,"somatic: SCC, melanoma; germline: NA",2,FALSE
TNFAIP3,11896,TNFAIP3,"somatic: marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL; germline: NA",4,TRUE
TNFRSF14,11912,TNFRSF14,somatic: follicular lymphoma; germline: NA,3,FALSE
TNFRSF17,11913,TNFRSF17,somatic: intestinal T-cell lymphoma; germline: NA,3,FALSE
TOP1,11986,TOP1,somatic: AML*; germline: NA,3,FALSE
TP53,11998,TP53,"somatic: breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types; germline: breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types",5,TRUE
TP63,15979,TP63,"somatic: HNSCC, DLBCL; germline: NSCLC",4,TRUE
TPM3,12012,TPM3,"somatic: papillary thyroid, ALCL, NSCLC, Spitzoid tumour; germline: NA",3,FALSE
TPM4,12013,TPM4,somatic: ALCL; germline: NA,3,FALSE
TPR,12017,TPR,"somatic: papillary thyroid, NSCLC; germline: NA",3,FALSE
TRA,12027,TRA,somatic: T-ALL; germline: NA,3,FALSE
TRAF7,20456,TRAF7,somatic: meningioma; germline: NA,4,TRUE
TRB,12155,TRB,somatic: T-ALL; germline: NA,3,FALSE
TRD,12252,TRD,somatic: T-cell leukaemia; germline: NA,3,FALSE
TRIM24,11812,TRIM24,somatic: APL; germline: NA,3,FALSE
TRIM27,9975,TRIM27,somatic: papillary thyroid; germline: NA,3,FALSE
TRIM33,16290,TRIM33,somatic: papillary thyroid; germline: NA,3,FALSE
TRIP11,12305,TRIP11,somatic: AML; germline: NA,3,FALSE
TRRAP,12347,TRRAP,somatic: melanoma; germline: NA,3,FALSE
TSC1,12362,TSC1,"somatic: renal cell carcinoma, bladder carcinoma; germline: hamartoma, renal cell carcinoma, tuberous sclerosis tuber",5,TRUE
TSC2,12363,TSC2,"somatic: pulmonary lymphangioleiomyomatosis (LAM), renal angiomyolipoma, HNSCC; germline: hamartoma, renal cell carcinoma, tuberous sclerosis tuber",5,TRUE
TSHR,12373,TSHR,somatic: toxic thyroid adenoma; germline: thyroid adenoma,5,TRUE
U2AF1,12453,U2AF1,"somatic: CLL, MDS; germline: NA",4,TRUE
UBR5,16806,UBR5,"somatic: mantle cell lymphoma, gastric, colorectal; germline: NA",3,FALSE
USP44,20064,USP44,"somatic: lung cancer, colon cancer; germline: NA",2,FALSE
USP6,12629,USP6,somatic: aneurysmal bone cyst; germline: NA,3,FALSE
USP8,12631,USP8,somatic: corticotroph adenoma; germline: NA,3,FALSE
USP9X,12632,USP9X,somatic: colon carcinoma; germline: colon carcinoma,3,FALSE
VAV1,12657,VAV1,somatic: T-cell lymphoma; germline: NA,2,FALSE
VHL,12687,VHL,"somatic: renal, haemangioma, pheochromocytoma; germline: renal, haemangioma, pheochromocytoma",5,TRUE
VTI1A,17792,VTI1A,somatic: colorectal; germline: NA,2,FALSE
WAS,12731,WAS,somatic: NA; germline: lymphoma,3,FALSE
WDCP,26157,WDCP,somatic: colorectal; germline: NA,3,FALSE
WIF1,18081,WIF1,somatic: pleomorphic salivary gland adenoma; germline: NA,3,FALSE
WNK2,14542,WNK2,somatic: gastric cancer; germline: NA,2,FALSE
WRN,12791,WRN,"somatic: NA; germline: osteosarcoma, meningioma, other tumour types",3,FALSE
WT1,12796,WT1,"somatic: Wilms tumour, desmoplastic small round cell tumour; germline: Wilms tumour",5,TRUE
WWTR1,24042,WWTR1,somatic: epithelioid haemangioendothelioma; germline: NA,3,FALSE
XPA,12814,XPA,"somatic: NA; germline: skin basal cell, skin squamous cell, melanoma",3,FALSE
XPC,12816,XPC,"somatic: NA; germline: skin basal cell, skin squamous cell, melanoma",3,FALSE
XPO1,12825,XPO1,somatic: CLL; germline: NA,3,FALSE
YWHAE,12851,YWHAE,somatic: endometrial stromal sarcoma; germline: NA,3,FALSE
ZBTB16,12930,ZBTB16,somatic: APL; germline: NA,3,FALSE
ZCCHC8,25265,ZCCHC8,somatic: Spitzoid tumour; germline: NA,2,FALSE
ZEB1,11642,ZEB1,"somatic: CCRCC, melanoma; germline: NA",2,FALSE
ZFHX3,777,ZFHX3,"somatic: endometrial, gastric, prostate; germline: NA",4,TRUE
ZMYM2,12989,ZMYM2,"somatic: MPN, NHL; germline: NA",3,FALSE
ZMYM3,13054,ZMYM3,"somatic: CRC, breast cancer; germline: NA",2,FALSE
ZNF331,15489,ZNF331,somatic: follicular thyroid adenoma; germline: NA,3,FALSE
ZNF384,11955,ZNF384,somatic: ALL; germline: NA,3,FALSE
ZNF429,20817,ZNF429,somatic: GBM; germline: NA,2,FALSE
ZNF479,23258,ZNF479,"somatic: lung cancer, bladder carcinoma, prostate carcinoma; germline: NA",2,FALSE
ZNF521,24605,ZNF521,somatic: ALL; germline: NA,3,FALSE
ZNRF3,18126,ZNRF3,"somatic: colorectal cancer, adrenocortical carcinoma, gastric cancer; germline: NA",2,FALSE
ZRSR2,23019,ZRSR2,"somatic: MDS, CLL; germline: NA",3,FALSE
